card_organism,positive_count
Corynebacterium striatum,2
Shigella flexneri,2
Massilia sp. SB1-3,2
Achromobacter,2
Bacteroides,2
Cronobacter sakazakii,2
Acinetobacter gyllenbergii,2
Streptococcus pneumoniae R6,2
Streptococcus pneumoniae TIGR4,2
Mycobacteroides abscessus,2
Acinetobacter sp. CIP-A165,2
Aeromonas veronii bv. veronii,2
Corynebacterium glutamicum,2
Agrobacterium fabrum str. C58,2
Citrobacter sp.,2
Shewanella,2
Acinetobacter guillouiae,2
Citrobacter,2
Yersinia ruckeri,2
Riemerella anatipestifer RA-GD,2
Oligella urethralis,2
Pseudomonas alloputida,2
Mammaliicoccus fleurettii,2
Macrococcus caseolyticus,2
Bacillus anthracis str. Ames,2
Photobacterium damselae subsp. piscicida,2
Alcaligenes faecalis,2
Bacteroides coprosuis DSM 18011,2
sediment metagenome,2
Caulobacter vibrioides,2
Staphylococcus saprophyticus,2
Capnocytophaga ochracea,2
Burkholderia pseudomallei K96243,2
Acinetobacter rudis CIP 110305,2
Shewanella sp.,2
Fluoribacter gormanii,2
Photobacterium damselae subsp. damselae,2
Campylobacter jejuni subsp. doylei 269.97,2
Salmonella enterica subsp. enterica serovar Newport,2
Streptomyces lincolnensis,2
Salmonella enterica subsp. enterica serovar Bovismorbificans,2
Pseudomonas oleovorans,2
Citrobacter amalonaticus,2
Pseudomonas indoloxydans,2
Salmonella enterica subsp. enterica serovar Typhi,2
Brevibacillus brevis Vm4,2
Parabacteroides distasonis,2
Serratia ureilytica,2
Streptomyces venezuelae ATCC 10712,2
Micromonospora chalcea,2
Yersinia enterocolitica (type O:8),2
Salmonella enterica subsp. enterica serovar Stanley,2
Buttiauxella agrestis,2
Nocardia farcinica IFM 10152,2
Enterococcus faecalis ATCC 29212,2
Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824,2
Mannheimia haemolytica,2
Vibrio cholerae O1 biovar El Tor str. N16961,2
Aliarcobacter butzleri,2
Staphylococcus aureus subsp. aureus LGA251,2
Bacillus subtilis,2
Micromonospora griseorubida,2
Enterococcus casseliflavus,2
Pseudomonas sp.,2
Streptococcus australis,2
Chryseobacterium gleum,2
Salmonella enterica subsp. enterica serovar Bredeney,2
Moraxella pluranimalium,2
Yersinia enterocolitica,2
Acinetobacter gerneri,2
Staphylococcus haemolyticus,2
Streptomyces thermotolerans,2
Exiguobacterium sp. S3-2,2
Bordetella bronchiseptica,2
Shewanella chilikensis,2
Acinetobacter sp. NIPH 542,2
Chryseobacterium sp.,2
Campylobacter coli CVM N29710,2
Streptomyces lividans 1326,2
Pandoraea apista,2
Streptomyces wedmorensis,2
Mycolicibacterium smegmatis,2
Acinetobacter baumannii ACICU,2
Campylobacter fetus subsp. fetus,2
Acinetobacter soli,2
Achromobacter sp. 2015clin4ach,1
Proteus penneri,1
Acinetobacter pittii ATCC 19004 = CIP 70.29,1
Acinetobacter guillouiae NIPH 991,1
Klebsiella sp. KF07,1
Acinetobacter sp. NIPH 2100,1
Acinetobacter sp. NIPH 817,1
mixed culture bacterium PE_gF3SD01_32,1
Nocardia asteroides,1
unclassified Acinetobacter,1
Acinetobacter pittii ANC 3678,1
Citrobacter freundii complex,1
Chryseobacterium indologenes NBRC 14944,1
Bacillus pumilus SAFR-032,1
Vibrio cholerae MO10,1
Vibrio cholerae O1,1
Staphylococcus aureus subsp. aureus COL,1
Acinetobacter sp. CIP A162,1
Porphyromonas gingivalis ATCC 33277,1
Acinetobacter johnsonii ANC 3681,1
Providencia sp. Y14,1
Erwinia persicina,1
Bacillus subtilis subsp. subtilis,1
Acinetobacter johnsonii CIP 64.6,1
Shewanella sp. FDAARGOS_354,1
Acinetobacter sp. CIP 64.7,1
Escherichia coli KTE14,1
Pandoraea sp. Va8523,1
Moraxella sp. MSG47-C17,1
Klebsiella sp. 4_1_44FAA,1
Moraxella sp. MSG13-C03,1
Acinetobacter baumannii NIPH 1362,1
Acinetobacter sp. CIP 51.11,1
Brachybacterium paraconglomeratum,1
Acinetobacter baumannii ATCC 17978,1
Klebsiella sp. MB45,1
Acinetobacter parvus DSM 16617 = CIP 108168,1
Klebsiella pneumoniae BIDMC 35,1
Acinetobacter sp. ETR1,1
Moraxella sp. RCAD0137,1
Pandoraea pulmonicola,1
Enterobacter hormaechei subsp. steigerwaltii,1
Acinetobacter schindleri NIPH 900,1
Brachybacterium faecium DSM 4810,1
Desulfovibrio desulfuricans,1
Moraxella osloensis,1
Glaesserella parasuis,1
Acinetobacter tandoii DSM 14970 = CIP 107469,1
Pandoraea norimbergensis,1
Acinetobacter schindleri CIP 107287,1
Moraxella porci DSM 25326,1
Acinetobacter guillouiae MSP4-18,1
Klebsiella pneumoniae subsp. pneumoniae KPNIH10,1
Klebsiella pneumoniae subsp. pneumoniae Ecl8,1
Klebsiella pneumoniae subsp. rhinoscleromatis SB3432,1
Salmonella enterica subsp. enterica serovar Emek,1
Enterobacter sp. 18A13,1
Enterobacter cloacae complex sp.,1
mixed culture bacterium AX_gF3SD01_15,1
Pseudomonas sp. BF61,1
Rheinheimera sp. D18,1
Enterobacter huaxiensis,1
Corynebacterium sp. 22KM0430,1
Salmonella enterica subsp. enterica serovar Schwarzengrund,1
Vibrio diabolicus,1
Salmonella enterica subsp. enterica serovar Typhi str. CT18,1
Achromobacter mucicolens,1
Salmonella enterica subsp. enterica serovar Panama,1
Clostridioides difficile R20291,1
Sphingobium indicum B90A,1
Cedecea davisae,1
Pantoea sp.,1
Clostridium sporogenes,1
Clostridium perfringens str. 13,1
Clostridioides difficile 630,1
Comamonas aquatica,1
Enterobacter sp. JBIWA008,1
Brucella intermedia,1
Betaproteobacteria bacterium HGW-Betaproteobacteria-16,1
Stenotrophomonas sp.,1
Sphingobacterium faecium,1
Myroides albus,1
Lelliottia amnigena,1
Empedobacter stercoris,1
Shigella flexneri 2a str. 301,1
Dysgonomonas capnocytophagoides,1
Enterobacter mori,1
Vibrio,1
Acinetobacter seifertii,1
Yokenella regensburgei,1
Serratia sp.,1
Paramesorhizobium deserti,1
Shewanella indica,1
Pseudomonas soli,1
Achromobacter sp.,1
Cupriavidus taiwanensis,1
Aeromonas taiwanensis,1
Pandoraea commovens,1
Pseudomonas parasichuanensis,1
Bradyrhizobium sp.,1
Hyphomonas beringensis,1
Longilinea arvoryzae,1
Kluyvera cryocrescens,1
Pseudomonas mosselii,1
Pseudomonas asiatica,1
Bordetella hinzii,1
Vibrio fortis,1
Kluyvera intermedia,1
Citrobacter youngae,1
Citrobacter meridianamericanus,1
Pyrinomonadaceae,1
Pseudomonas guariconensis,1
Burkholderia ubonensis,1
Pseudomonas shirazica,1
Clostridium sp. AF37-7,1
Citrobacter youngae ATCC 29220,1
Salmonella enterica subsp. enterica serovar Paratyphi B,1
Salmonella sp.,1
Bifidobacterium bifidum PRL2010,1
Acinetobacter sp. NIPH 298,1
Actinomadura sp. R39,1
Limosilactobacillus reuteri,1
Shewanella denitrificans,1
Staphylococcus,1
Streptococcus mutans,1
Serratia rubidaea,1
Pseudomonas stutzeri,1
Proteus sp. VIITMP5,1
Acinetobacter venetianus,1
Raoultella,1
Plasmid PDS075,1
Myxococcus,1
Myroides odoratus,1
Enterobacter sp. ET82,1
Chryseobacterium,1
Providencia,1
Escherichia,1
Kluyvera genomosp. 2,1
Kluyvera,1
Bifidobacterium adolescentis,1
Staphylococcus gallinarum,1
Staphylococcus nepalensis,1
Bacteroides sp.,1
Aliivibrio salmonicida LFI1238,1
Clostridium botulinum,1
Mycobacteroides abscessus subsp. bolletii F1725,1
Aeromonas bivalvium,1
Salmonella enterica subsp. enterica serovar Kedougou,1
hospital metagenome,1
Bibersteinia trehalosi USDA-ARS-USMARC-192,1
Proteus genomosp. 6,1
Lactobacillus johnsonii,1
Clostridiaceae bacterium K10,1
Prevotella bivia,1
Cutibacterium acnes,1
Prevotella baroniae F0067,1
Alistipes sp. An116,1
Riemerella anatipestifer RA-CH-2,1
Bacillus cereus VD166,1
Bacillus phocaeensis,1
Gracilibacillus timonensis,1
Bacillus massiliigabonensis,1
Pseudomonas wenzhouensis,1
Lactococcus garvieae,1
Saccharothrix mutabilis subsp. capreolus,1
Acinetobacter pittii ANC 4050,1
Bacillus thuringiensis,1
Achromobacter sp. 2015clin2ach,1
Streptomyces sp. WAC4747,1
Mycolicibacterium mageritense,1
Streptomyces niveus,1
Vibrio parahaemolyticus RIMD 2210633,1
Streptomyces viridochromogenes,1
Empedobacter brevis,1
Acinetobacter sp. LUH5605,1
Salmonella enterica subsp. enterica serovar Infantis,1
Streptomyces netropsis,1
Streptomyces kanamyceticus,1
Citrobacter sp. W1065,1
Salmonella enterica subsp. enterica serovar Senftenberg,1
Rhodobacter capsulatus,1
Streptomyces albulus,1
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,1
Plasmid pNG2,1
Shigella sp. SH284,1
Klebsiella variicola At-22,1
Vibrio parahaemolyticus O1:Kuk str. FDA_R31,1
Micrococcus luteus,1
uncultured bacterium BLR17,1
Streptomyces glaucescens,1
Legionella longbeachae,1
Staphylococcus aureus subsp. aureus Mu50,1
Shigella sp. SH223,1
Plasmid RP4,1
Klebsiella sp. ARS06-441,1
Pseudomonas syringae,1
Niallia circulans,1
Campylobacter jejuni subsp. jejuni,1
Aeromonas sp. HCUZ 2422275,1
Salmonella enterica subsp. enterica serovar Westhampton,1
Staphylococcus aureus subsp. aureus ST398,1
Lactococcus lactis,1
Kluyvera sp. MRB7,1
Aeromicrobium erythreum,1
uncultured bacterium BLR1,1
Plasmid R387,1
Bacillus cereus ATCC 14579,1
Streptococcus oralis,1
Streptomyces ribosidificus,1
Enterococcus faecalis EnGen0074,1
Plasmid NR79,1
Janthinobacterium lividum,1
Acinetobacter sp. 640,1
Streptomyces sp. WAC05292,1
uncultured bacterium BLR19,1
Delftia acidovorans,1
Staphylococcus epidermidis ATCC 12228,1
Staphylococcus aureus subsp. aureus str. Newman,1
uncultured bacterium BLR2,1
Streptomyces vinaceus,1
Salmonella enterica subsp. enterica serovar Albany,1
Shigella flexneri Y,1
Shigella sp. SH361,1
Shigella sp. SH165,1
Plasmid pGT633,1
Providencia sp. 4440,1
Acinetobacter sp. 631,1
Acinetobacter sp. ANC 3880,1
Staphylococcus aureus subsp. aureus NCTC 8325,1
Shewanella livingstonensis,1
Pantoea agglomerans,1
Vibrio parahaemolyticus UCM-V493,1
Flavobacterium johnsoniae UW101,1
Rhodococcus fascians,1
Corynebacterium sp. L2-79-05,1
Streptomyces bikiniensis,1
Fusobacterium nucleatum,1
Shigella sp. SH219,1
uncultured organism,1
Citrobacter sp. 913,1
Legionella pneumophila 130b,1
Prevotella intermedia,1
uncultured bacterium BLR5,1
Streptomyces laurentii,1
Bhargavaea cecembensis,1
Micrococcus sp. SMCC G887,1
Streptomyces sp. WAC 01438,1
Shigella sp. SH257,1
Brevibacillus brevis NBRC 100599,1
uncultured bacterium BLR9,1
Acinetobacter dispersus,1
Saccharopolyspora erythraea NRRL 2338,1
Plasmid pWW100,1
uncultured bacterium BLR12,1
Acinetobacter calcoaceticus subsp. anitratus,1
Shewanella oneidensis,1
Plasmid pWP113a,1
uncultured bacterium BLR18,1
Pasteurella multocida 36950,1
Staphylococcus aureus subsp. aureus USA300_TCH959,1
Acinetobacter genomosp. 13,1
uncultured bacterium BLR8,1
Streptomyces hygroscopicus,1
Staphylococcus warneri,1
Acinetobacter sp. enrichment culture clone 8407,1
Citrobacter sp. OTESBL0707,1
Enterococcus faecalis V583,1
Clostridium butyricum,1
Aeromonas salmonicida subsp. salmonicida,1
Kitasatospora aureofaciens,1
Staphylococcus aureus subsp. aureus JH9,1
Shewanella frigidimarina,1
Gram-negative bacterium TC71,1
Escherichia coli O139:H28 str. E24377A,1
Acinetobacter baumannii AB307-0294,1
Plasmid R,1
Bacillus amyloliquefaciens CC178,1
Psychrobacter maritimus,1
Acinetobacter baumannii SDF,1
Salmonella enterica subsp. enterica serovar Hadar,1
Klebsiella variicola CAG:634,1
Plasmid pAZ1,1
Butyrivibrio fibrisolvens,1
Myroides odoratus DSM 2801,1
IncQ plasmid pIE1120,1
Streptomyces albus,1
Alkalihalobacillus clausii KSM-K16,1
Acinetobacter genomosp. 16BJ,1
Acinetobacter baumannii NIPH 201,1
Acinetobacter bereziniae NIPH 3,1
Bacillus cereus Rock3-29,1
Acinetobacter bouvetii DSM 14964 = CIP 107468,1
Acinetobacter haemolyticus CIP 64.3 = MTCC 9819,1
Acinetobacter sp. NIPH 3623,1
Acinetobacter baumannii NIPH 329,1
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788,1
Acinetobacter sp. NIPH 1847,1
Acinetobacter baumannii NIPH 67,1
Klebsiella sp. P1CD1,1
Francisella tularensis subsp. tularensis NE061598,1
Acinetobacter sp. NIPH 2168,1
Acinetobacter baumannii 1656-2,1
Geobacillus stearothermophilus,1
Brachyspira hyodysenteriae,1
Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050,1
Transposon Tn4551,1
uncultured bacterium Ak20-3,1
Acinetobacter sp. ANC 3929,1
Streptomyces lavendulae,1
Acinetobacter sp. NIPH 1867,1
Acinetobacter bohemicus ANC 3994,1
Burkholderia glumae,1
Staphylococcus haemolyticus JCSC1435,1
Staphylococcus aureus subsp. aureus IS-88,1
Listeria monocytogenes FSL R2-561,1
Brevibacillus brevis,1
Chlamydia trachomatis,1
Salmonella sp. YLD3,1
Cereibacter sphaeroides 2.4.1,1
Moraxella catarrhalis BC1,1
Vibrio anguillarum,1
Staphylococcus intermedius,1
Streptococcus suis,1
Elizabethkingia anophelis NUHP1,1
Aeromonas enteropelogenes,1
Acinetobacter calcoaceticus ANC 3811,1
uncultured bacterium IN-02,1
uncultured bacterium IN-14,1
Acinetobacter calcoaceticus NIPH 13,1
Acidaminococcus fermentans,1
Acinetobacter baumannii 1552865,1
Mycobacterium leprae,1
Acinetobacter gyllenbergii NIPH 230,1
Clostridium botulinum A str. ATCC 3502,1
Moraxella catarrhalis ATCC 43617,1
Bacillus atrophaeus C89,1
Salmonella enterica subsp. enterica serovar Heidelberg,1
Achromobacter sp. sallbros1,1
Acinetobacter sp. CIP 64.2,1
Streptoalloteichus tenebrarius,1
Acinetobacter calcoaceticus ANC 3680,1
Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841,1
Moraxella catarrhalis,1
Acinetobacter bereziniae LMG 1003 = CIP 70.12,1
Acinetobacter venetianus RAG-1 = CIP 110063,1
Klebsiella oxytoca KONIH1,1
Escherichia coli str. K-12,1
Streptococcus pyogenes MGAS9429,1
Streptococcus uberis,1
Bradyrhizobium diazoefficiens USDA 110,1
Bacillus pumilus,1
Acinetobacter sp. CIP 56.2,1
uncultured bacterium BLR7,1
uncultured bacterium BLR10,1
Salmonella enterica subsp. enterica serovar Corvallis,1
Micromonospora zionensis,1
uncultured bacterium BLR3,1
Citrobacter sp. TR21_24,1
Burkholderia pseudomallei 576,1
Enterobacter sp. 87F-2,1
Acinetobacter sp. BM2722,1
uncultured bacterium BLR13,1
Helicobacter pylori 26695,1
Enterococcus durans,1
Shigella sp. SH202,1
Salmonella enterica subsp. enterica serovar Anatum,1
Enterococcus hirae,1
Erysipelothrix rhusiopathiae,1
Salmonella enterica subsp. enterica serovar Berta,1
Acinetobacter baumannii A424,1
Enterobacter sp. SL1,1
Aeromonas veronii bv. sobria,1
uncultured bacterium AOTet43,1
Rhodococcus rhodochrous,1
Plasmid pTB913,1
Pedobacter sp. SI-33,1
Pedobacter sp. ALS-14,1
Pedobacter sp. Stok-3,1
Chryseobacterium sp. Stok-1,1
Haemophilus influenzae R2846,1
Francisella philomiragia subsp. philomiragia ATCC 25015,1
Paenibacillus sp. Y412MC10,1
Aspergillus fumigatus Af293,1
Acinetobacter sp. ANC 4105,1
Helcococcus kunzii,1
Acinetobacter baylyi ADP1,1
Alkalihalobacillus halodurans,1
Salmonella enterica subsp. enterica,1
Bifidobacterium breve,1
Nocardia farcinica,1
Escherichia coli O25b:H4,1
Staphylococcus aureus subsp. aureus MSSA476,1
Desulfitobacterium hafniense DCB-2,1
Streptococcus agalactiae 2603V/R,1
Clostridium perfringens SM101,1
Brucella suis 1330,1
Listeria monocytogenes EGD-e,1
Streptococcus pneumoniae,1
synthetic construct,1
Desulfitobacterium hafniense,1
Streptomyces coelicolor A3(2),1
Acinetobacter sp. CIP 70.18,1
Sphingomonas sp. ALS-13,1
Chryseobacterium sp. Stok-2,1
Citrobacter sedlakii,1
